player_id,name,position,shoots,height_cm,weight_kg,college,draft_year,nba_debut,experience_years,is_active,birth_date,birth_place
johnsty01,Tyler Johnson,Point Guard and Shooting Guard,Left,190,84,Fresno State,,"January 14, 2015",8,False,1992-05-07,North Dakota
johnsja01,James Johnson,"Power Forward, Small Forward, and Center",Right,201,108,Wake Forest,2009.0,"October 30, 2009",16,False,1987-02-20,Wyoming
reidna01,Naz Reid,Center and Power Forward,Right,206,119,LSU,,"December 8, 2019",7,True,1999-08-26,New Jersey
alexani01,Nickeil Alexander-Walker,Shooting Guard,Right,196,92,Virginia Tech,2019.0,"October 22, 2019",7,True,1998-09-02,Ontario
brownst02,Sterling Brown,Shooting Guard and Small Forward,Right,196,99,SMU,2017.0,"October 20, 2017",6,False,1995-02-10,Illinois
arcidry01,Ryan Arcidiacono,Point Guard,Right,190,88,Villanova,,"October 19, 2017",7,False,1994-03-26,Pennsylvania
hezonma01,Mario Hezonja,Small Forward and Power Forward,Right,203,99,,2015.0,"October 28, 2015",5,False,1995-02-25,Croatia
dedmode01,Dewayne Dedmon,Center,Right,208,111,USC,,"November 18, 2013",10,False,1989-08-12,California
bembrde01,DeAndre' Bembry,Small Forward and Shooting Guard,Right,196,95,Saint Joseph's,2016.0,"October 27, 2016",6,False,1994-07-04,North Carolina
valende01,Denzel Valentine,Shooting Guard and Small Forward,Right,193,99,Michigan State,2016.0,"October 29, 2016",5,False,1993-11-16,Michigan
dortlu01,Luguentz Dort,Small Forward and Shooting Guard,Right,193,99,Arizona State,,"December 6, 2019",7,True,1999-04-19,Quebec
doumbse01,Sekou Doumbouya,Power Forward,Right,203,104,,2019.0,"November 23, 2019",3,False,2000-12-23,Guinea
okafoja01,Jahlil Okafor,Center,Right,208,122,Duke,2015.0,"October 28, 2015",7,False,1995-12-15,Illinois
grahatr01,Treveon Graham,Shooting Guard and Small Forward,Right,196,99,VCU,,"November 2, 2016",4,False,1993-10-28,Maryland
burketr01,Trey Burke,Point Guard,Right,183,83,Michigan,2013.0,"November 20, 2013",9,False,1992-11-12,Ohio
fernabr01,Bruno Fernando,Center,Right,206,108,Maryland,2019.0,"October 24, 2019",6,True,1998-08-15,Angola
martico01,Cody Martin,Small Forward,Right,198,92,,2019.0,"October 25, 2019",7,True,1995-09-28,North Carolina
willigr01,Grant Williams,Power Forward,Right,201,107,Tennessee,2019.0,"October 23, 2019",7,True,1998-11-30,Texas
ojelese01,Semi Ojeleye,Power Forward,Right,198,108,,2017.0,"October 17, 2017",5,False,1994-12-05,Kansas
bullore01,Reggie Bullock,Small Forward and Shooting Guard,Right,198,92,UNC,2013.0,"October 29, 2013",11,False,1991-03-16,Maryland
hoodro01,Rodney Hood,"Shooting Guard, Small Forward, and Power Forward",Left,203,94,,2014.0,"October 29, 2014",8,False,1992-10-20,Mississippi
mclaujo01,Jordan McLaughlin,Point Guard,Right,180,83,USC,,"November 6, 2019",7,True,1996-04-09,California
muscami01,Mike Muscala,Center and Power Forward,Right,208,108,Bucknell,2013.0,"March 2, 2014",11,False,1991-07-01,Minnesota
bacondw01,Dwayne Bacon,Shooting Guard,Right,198,100,Florida State,2017.0,"October 18, 2017",4,False,1995-08-30,Florida
cookqu01,Quinn Cook,Point Guard,Right,185,81,Duke,,"February 27, 2017",5,False,1993-03-23,District of Columbia
bareajo01,J.J. Barea,Point Guard and Shooting Guard,Right,178,81,Northeastern University,,"November 4, 2006",14,False,1984-06-26,Puerto Rico
hensojo01,John Henson,Center and Power Forward,Right,206,99,UNC,2012.0,"November 7, 2012",8,False,1990-12-28,North Carolina
fergute01,Terrance Ferguson,Shooting Guard and Small Forward,Right,198,86,,2017.0,"October 19, 2017",4,False,1998-05-17,Oklahoma
gaffoda01,Daniel Gafford,Center and Power Forward,Right,208,120,Arkansas,2019.0,"October 26, 2019",7,True,1998-10-01,Arkansas
diallch01,Cheick Diallo,Center and Power Forward,Right,203,99,Kansas,2016.0,"October 29, 2016",5,False,1996-09-13,Mali
okoboel01,Elie Okobo,Point Guard,Left,190,86,,2018.0,"October 17, 2018",2,False,1997-10-23,France
ferreyo01,Yogi Ferrell,Point Guard and Shooting Guard,Right,183,80,Indiana,,"November 9, 2016",5,False,1993-05-09,Indiana
hutchch01,Chandler Hutchison,Small Forward,Right,198,95,Boise State,2018.0,"October 18, 2018",4,True,1996-04-26,California
kornelu01,Luke Kornet,Center,Right,216,113,Vanderbilt,,"February 8, 2018",9,True,1995-07-15,Texas
kurucro01,Rodions Kurucs,Small Forward and Power Forward,Right,206,103,,2018.0,"October 17, 2018",3,False,1998-02-05,Latvia
birchkh01,Khem Birch,Center,Right,203,105,,,"October 21, 2017",6,False,1992-09-28,Quebec
laymaja01,Jake Layman,Small Forward,Right,203,94,Maryland,2016.0,"November 1, 2016",6,False,1994-03-07,Massachusetts
harrish01,Shaquille Harrison,Shooting Guard and Point Guard,Left,193,88,Tulsa,,"February 23, 2018",7,False,1993-10-06,Missouri
goodwbr01,Brandon Goodwin,Point Guard,Right,183,81,,,"December 18, 2018",4,False,1995-10-02,Georgia
chandwi01,Wilson Chandler,"Small Forward, Power Forward, and Shooting Guard",Right,203,106,DePaul,2007.0,"November 13, 2007",12,False,1987-05-10,Michigan
thomama02,Matt Thomas,Shooting Guard,Right,190,86,Iowa State,,"October 26, 2019",3,False,1994-08-04,Illinois
danietr01,Troy Daniels,Shooting Guard,Right,193,90,VCU,,"March 5, 2014",7,False,1991-07-15,Virginia
tollian01,Anthony Tolliver,Power Forward and Small Forward,Right,203,108,Creighton,,"November 7, 2008",13,False,1985-06-01,Missouri
jacksjo02,Josh Jackson,Small Forward and Shooting Guard,Right,203,93,Kansas,2017.0,"October 18, 2017",5,False,1997-02-10,California
martike03,Kelan Martin,Small Forward,Right,196,104,Butler,,"October 25, 2019",3,False,1995-08-03,Kentucky
musadz01,DÅ¾anan Musa,Small Forward and Shooting Guard,Right,206,98,,2018.0,"October 20, 2018",2,False,1999-05-08,Bosnia and Herzegovina
hernawi01,Willy HernangÃ³mez,Center,Right,211,113,,2015.0,"October 25, 2016",7,False,1994-05-27,Spain
labissk01,Skal LabissiÃ¨re,Power Forward and Center,Right,208,106,Kentucky,2016.0,"November 5, 2016",6,True,1996-03-18,Haiti
mcgruro01,Rodney McGruder,Shooting Guard,Right,193,92,Kansas State,,"October 26, 2016",7,False,1991-07-29,Maryland
smithde03,Dennis Smith Jr.,Point Guard,Right,188,92,NC State,2017.0,"October 18, 2017",7,True,1997-11-25,North Carolina
baglema01,Marvin Bagley III,Power Forward and Center,Left,208,106,Duke,2018.0,"October 17, 2018",8,True,1999-03-14,Arizona
ellinwa01,Wayne Ellington,Shooting Guard,Right,193,93,UNC,2009.0,"October 28, 2009",13,False,1987-11-29,Pennsylvania
knighbr03,Brandon Knight,Point Guard and Shooting Guard,Right,188,82,Kentucky,2011.0,"December 26, 2011",9,False,1991-12-02,Florida
mckinal01,Alfonzo McKinnie,Small Forward,Right,201,97,Green Bay,,"October 19, 2017",5,False,1992-09-17,Illinois
dellama01,Matthew Dellavedova,Point Guard and Shooting Guard,Right,190,90,Saint Mary's,,"November 2, 2013",9,False,1990-09-08,Australia
gudurma01,Marko GuduriÄ,Shooting Guard,Left,198,91,,,"October 23, 2019",1,False,1995-03-08,Serbia
bitadgo01,Goga Bitadze,Center,Right,211,113,,2019.0,"October 26, 2019",7,True,1999-07-20,Georgia
littlna01,Nassir Little,Small Forward and Power Forward,Right,198,99,UNC,2019.0,"October 25, 2019",5,True,2000-02-11,Florida
crabbal01,Allen Crabbe,Shooting Guard and Small Forward,Right,196,96,California,2013.0,"November 1, 2013",7,False,1992-04-09,California
mccawpa01,Patrick McCaw,Shooting Guard and Small Forward,Right,201,82,UNLV,2016.0,"October 25, 2016",5,False,1995-10-25,Missouri
doziepj01,PJ Dozier,"Shooting Guard, Small Forward, and Point Guard",Right,198,96,South Carolina,,"February 8, 2018",7,False,1996-10-25,South Carolina
porteot01,Otto Porter Jr.,Small Forward and Power Forward,Right,203,89,Georgetown,2013.0,"December 6, 2013",11,False,1993-06-03,Missouri
greenja02,Javonte Green,Shooting Guard and Small Forward,Right,196,92,Radford,,"October 25, 2019",7,True,1993-07-23,Virginia
clemoch01,Chris Clemons,Shooting Guard,Right,175,81,Campbell,,"November 3, 2019",1,False,1997-07-23,North Carolina
exumda01,DantÃ© Exum,Point Guard and Shooting Guard,Right,196,97,,2014.0,"October 29, 2014",8,True,1995-07-13,Australia
pasecan01,AnÅ¾ejs PaseÄÅiks,Center,Right,216,103,,2017.0,"December 18, 2019",2,False,1995-12-20,Latvia
sampsja02,JaKarr Sampson,Small Forward and Power Forward,Right,201,97,St. John's,,"October 29, 2014",6,False,1993-03-20,Ohio
clarkga01,Gary Clark,Power Forward and Small Forward,Right,198,102,Cincinnati,,"October 17, 2018",4,False,1994-11-16,North Carolina
trieral01,Allonzo Trier,Shooting Guard,Right,193,90,Arizona,,"October 17, 2018",2,False,1996-01-17,Washington
johnske04,Keldon Johnson,Small Forward,Right,198,99,Kentucky,2019.0,"November 22, 2019",7,True,1999-10-11,Virginia
sumneed01,Edmond Sumner,Shooting Guard and Point Guard,Right,193,86,Xavier,2017.0,"April 10, 2018",5,False,1995-12-31,Michigan
williro04,Robert Williams,Center,Right,206,112,Texas A&M,2018.0,"October 22, 2018",8,True,1997-10-17,Louisiana
